input,reference_sentence,predicted_label
Can you do this?,Can you do it?,"Russiaia, it's not."
"Sure, I've  done this very trip.",I've done this many dozens of times.,"Four ha to see the New,000,000"
"You can use it, too.","You can do it, too.",You of first's the sand.
How do you do that?,How to do that?,Syria are fighting asian
I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/,I found some link that might be of help to you:,R of the New York Stock of the same be been-Qaida.S.
"I would say you can do it, but it wouldn't be advised.","I would say it is impossible to know, so don't risk it.","The technology-based were by the company, was a field-based."
Unfortunately the answer to your question is we simply do not know.,The answer to your question is not really.,The girl is the company is the two to U.
"If you are not sure how to do it, don't do it at all.","You don't, it will not work.","Three,000 I for was a silver"
It's also a matter of taste.,It's definitely just a matter of preference.,He a tomato in U.
It's not a good idea.,It's a good idea to do both.,A man jumps a field.
This answer is based on my experience teaching undergraduate math in the US.,This answer is based on experience I did not researched for references.,A close is standing in the trees is the background into a horse.
There are a few things I think you should do.,There are quite a few things you would need to do;,Four two into a skate of a small in a pan.
You will want to clean the area first.,You will also want to remove the seeds.,A black and a cat.
It depends on what you want to have in your tank.,It depends on what you want to achieve.,It is a pen police.
There are a couple of options that you could consider:,There are a lot of ways that could go poorly for you.,Gun I Is-up on Pakistan
You don't have to worry.,"Since you have one ticket, you don't have to worry.",Whata to nuclear of the world.
Vietnamese citizens need a visa to visit the USA.,Nepalese citizens require a visa to visit the UK.,a woman in the ocean - was a water.
It depends on how it's used.,It depends on how long it's been out.,I are playing the snow.
I don't see why there should be any problem with this whatsoever.,I don't see why this could be a problem.,I don't know's a three.
There's not a lot you can do about that.,I really do not think there is much you can do about that.,The boy is a baby to the tracks.
You got it right.,Yes you got it.,A group of the ground.
"You just have to base your answer on what you do know, which is what you want.","Remember this is your degree we are talking about, its up to you what you want to do.",If a lake of the conventional.6's has told a mass.
How do you do that?,How should you do that?,At dead dead in Afghanistan
I was in a similar situation.,I am in a similar situation.,The man is riding a piano.
What is your lid made of?,What is your paper for?,Gun Ianda is seasoning by a gas
You don't need any visa.,You don't need sauce at all.,The girl is the rain.
"That is your problem, not your supervisor's.",Work with your supervisor and your team to solve the problem.,Two dogs is playing the capital.
"It depends on what you want to do next, and where you want to do it.",It's up to you what you want to do next.,"the, but and technology."""
There are two things to consider:,A couple things to consider:,China 63 to hospital Egypt to nuclear talks to 1
It depends entirely on your company and your contract.,It depends on your company.,I don't say the united the sand.
"The wood probably isn't rotten, it's just worn out.",It's just worn out and not safe.,The theme wearing a dining down its said.
"Well, I wouldn't put it on my cv.",I wouldn't put this job on my resume.,Originally Posted by the company not theys.
This is a great one...,This is a difficult one.,T is flying.
The answer to both questions is: Yes.,To directly answer the two questions in your title.,The bird is a horse.
"Yes, there is a reason to not do what you propose.","Valid reasons to feel the way you do, but not a reason to resign.",A brown horse in a red and a green along the water.
I think it is depends on the program.,It depends on how the term is used I think.,T is the I the city the dirt.
Can you do this?,"So, CAN you do this?",Indian stocks open lower
I think there isn't a general answer.,I don't think there is an answer for this.,An have a yellow a table.
There are a few things you can do:,There are a couple things you can try.,At-m are playing in Iraq crash
"The key is you have to find something that works for you, and your goals.","You may want it, but the process given to you is what you have to work within.",The Dow is slicing a statement is an for the floor.
