input,reference_sentence,predicted_label
You don't have to know.,You don't have equipments/facilities to do research in B.,You boy is licking to do.
I think you've pretty much done your review.,You've pretty much answered your own question.,"I have ""pro and would be never and a blue."
There are a few things I think you should do.,There are a few things I don't understand:,A brown dog jumps you a stick in a field.
You burn more Calories digesting protein than you do carbohydrates and fat.,"The more you sweat, the faster you will burn calories and fat.",I ask I don't want to the decision.
"It depends on what you want to do next, and where you want to do it.",It depends on what you want to say/imply.,It is a meeting to a persistent of people cents a statement for a law.
You got it right.,You've got it right.,You American into the floor.
You answered your own question.,You pretty much answered your own question.,YouPower stocks close lower on gays.
I have the same thing.,I had the same problem as you.,I stand I I have have the tracks.
"Yes, there is a chemical difference.","Yes, there is a reason for it.",The brown dog is running along the shore.
"They can be out of level by a bit, but flat is important.","Yes, although they can be a bit sour.",A boy is laying on the ceiling.
I would look at this: U.S.,I would look at this way:,India Inkens to each other over the death
You are on the right path.,You're on the right path.,The blue are trying through the floor.
"If you haven't, you should.","You should, but you don't have to.",If you do you said you you you you you.
Yes it is common!,The simple answer is yes!,US soldier's nuclear talks in the street.
I don't think that there's any.,I don't think there are any benefits.,I don't fight have told.
It looks to me that this is set up for what you want:,It is up to you whether you want to do that.,In it is no to get it for you are saying to end of you have trial
"Problem is, the system doesn't account for people who could care less about money, or title.",The Joker doesn't care about money.,"S are dancing, it's Congress of Northwest Africa."
"In the first case, I think you don't need it.",So I don't think you need to put it on the cover.,"In addition, the American have a share, we, Move be comment."
It is impossible to answer this question without a form check.,"It is difficult, if not impossible, to give a complete answer to this question.",And first is using the question.
You need to add this to your resume because it is the only position you have had.,This gives you the opportunity to make your case that you really do have expertise in XXX.,I brit to the company the Belgian to the company for the nuclear weapons.
Work into it slowly.,You work on it slowly.,my's gl's gl.
"No, you do not NEED a bread machine.",You do not need to worry.,Two people is a pot -.
"Yes, it is possible to publish a paper on model analysis.","Yes, it is hard to publish in a peer reviewed journal.",russia's new is standing on Saturday next to a problem.
"You just have to base your answer on what you do know, which is what you want.","So if that's what you need, you really do have to be explicit about it.","I executive executive, say they were have been you are now."
"Yes, you should mention your experience.","Yes, you should make a résumé.",I'm that that I don't.
I think it is great that you had a test conducted.,I think that's a great plan.,"I don't have a't be I don't do that many, ""."
You don't have to know.,Other than that you don't have a tax issue.,I don't like have to say be.
"Yes, there is a rule against this.",There's no rule against it.,PeopleImagine a car on Syria.
What are your goals?,What are you goals?,What are are fighting are they
I'm going to go out on a limb here...,I'm going to be very direct here.,I'm have told me I'm on Ukraine
"If your long stay visa for Switzerland is valid, then you will not need a transit visa.","You do not need a transit visa, but to enter Zurich you will need a visa.","If a s a series, but said it is talking-up by a fraud."
A few more point to think about:,A few things to think about:,A girl for drum to hold on Monday
Now you don't have to be perfect on every answer.,You don't have to know.,Iran is a cornerstone over a video.
I'm afraid we are out of luck in this one.,I think this is one of those things where you are just out of luck.,I don't know in europe with a beach.
It is more deciding what you should do and what you should get others to do.,Point is: know what you want and don't be afraid to ask for it.,I you you notice that is not be president they that is okay that HP.
